,radius(nm),distrib,err
161,3.839697337490857,0.0,1e-17
162,3.6715412425193032,0.0,2e-17
163,3.510721547371561,0.0,1.2e-17
164,3.356947701559561,0.0,1.6e-17
165,3.2098565169732125,0.0,6.8e-18
166,3.06930271836848,0.0,1e-17
167,2.934850480013254,0.0,2.5e-18
168,2.8062818890414825,0.0,6.4e-18
169,2.6833790325871107,0.0,1e-17
170,2.565851360162068,0.0,4.7e-18
171,2.4534809589002986,0.0,1.3e-17
172,2.345977278313733,0.0,1.6e-17
173,2.2432676807803515,0.0,8.2e-18
174,2.1449889781900646,0.0,2.4e-18
175,2.0509958952988376,0.0,8.7e-18
176,1.961215794484651,0.0,6.4e-18
177,1.8752854876374163,0.0,8.4e-18
178,1.793132337135115,0.0,3e-18
179,1.7146110677337107,0.0,3.3e-18
180,1.6395037665671506,0.0,9.6e-18
181,1.5676651583913979,0.0,3.9e-18
182,1.4990226055844351,0.0,4.7e-18
183,1.4333581952802084,0.0,1.1e-17
184,1.3705992898566994,0.0,6.7e-18
185,1.3105279764478548,0.0,1.8e-18
186,1.2531442550536742,0.0,3.2e-18
187,1.198230212808104,0.0,2.8e-18
188,1.145785849711144,0.0,3.7e-18
189,1.0955932528967405,0.0,1.7e-18
190,1.0475797847428756,0.0,4.8e-18
191,1.0017454452495491,0.0,2.5e-18
192,0.9578723215507071,0.0,1e-18
193,0.9158877760243322,0.0,1.9e-18
